course_code,course_title,prerequisite,has_source_conflict
UCOR103,Communication Skills,NIL,False
UCOR203,Leadership and Teamwork Skills,NIL,False
UCOR205,Socio Cultural Perspectives on Indian Life-SPIL,NIL,False
UCOR210,Critical Thinking,NIL,False
UCOR104,Problem Solving with Design Thinking,NIL,False
UCOR701,Community Engagement & Service Experience,NIL,False
UCOR201,Introduction to Epistemology,NIL,False
UCOR102,Introduction to writing,NIL,False
UCOR106,Learning to Learn,NIL,False
MATH201,Calculus,NIL,False
MATH202,Probability Theory,NIL,False
MTSC781,Sustainable Cities and Communities,NIL,False
SLAD206,Human Values in Work and Life,NIL,False
LANG101,Language,NIL,False
COMP132,Design Workshop,NIL,False
MTSC211,Sustainable Smart Materials,MTSC111,False
SLAD207,Foundation Seminar,NIL,False
MTSC111,Materials for Smart Devices,NIL,False
ENGL201,Academic Writing,UCOR102,False
MATH204,Linear Algebra,NIL,False
DATA131,Visualizing Data for Story Telling,NIL,False
PSYC101/ECON101,Introduction to Psychology/Introduction to Economics,NIL,False
DATA130,Computational Thinking,NIL,False
COMP201,Data Structures,NIL,False
COMP203,Analysis of Algorithms,COMP201,False
COMP205,Object Oriented Programming,NIL,False
COMP208,Networks,NIL,False
COMP302,Internet of Things,"COMP132, COMP201, COMP206, COMP208, COMP301",False
MATH205,Statistics with R,MATH202,False
COMP202,Theoretical Computer Science,NIL,False
COMP204,Digital Design and Computer Organization,NIL,False
COMP207,Operating Systems,NIL,False
COMP206,Microprocessors and Computer Architecture,"COMP204, COMP207",False
COMP301,Artificial Intelligence,NIL,False
COMP209,Databases Management,NIL,False
DATA201,Foundations to Data Science,NIL,False
DATA202,Exploratory Data Analysis,"DATA201, MATH203",False
MATH301,Optimization Techniques for Data Science,MATH201,True
DATA301,Machine Learning,"DATA202, MATH301",True
DATA302,Deep Learning,DATA301,True
DATA207,Human Centric AI,COMP210/COMP301,False
MATH401/COMP401,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,NIL/NIL,False
DATA402/DATA406,SPT-Course #2 (Advanced Visualization and Storytelling/Big Data Framework),DATA301/NIL,False
DATA403/COMP402,SPT-Course #3 (Natural Language Processing / Software Architecture and Deployments),"DATA302/COMP205, COMP401",False
DATA404,SPT-Course #4 (Multi Modal Learning / Cloud Computing),DATA302,False
DATA405,SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),"MATH202,MATH204",False
DATA801,Summer Training/Internship,NIL,False
DATA802,Interdisciplinary Project,NIL,False
DATA803,Capstone Project/Industrial Internship,NIL,False
MATH207,Research Methodology,NIL,False
DATA303,MLOps & Model Deployment,"DATA301, COMP208",False
DATA405/DATA406,SPT-Course #2-Reinforcement Learning/Big Data Framework,"MATH202, MATH204/NIL",False
DATA403,SPT-Course #3 (Natural Language Processing / Natural Language Processing),DATA302,False
DATA404/COMP402,SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),"DATA302/ COMP205, COMP401",False
DATA408/COMP405,SPT-Course #5 Advanced Topics in Deep Learning LTP: 3-0-2/ Cloud &Cognitive Computing LTP: 2-0-4,DATA302,False
UCOR105,Communication and Leadership Skills,NIL,False
UCOR310,Critical Thinking,NIL,False
LAWS101,Fundamentals of Indian Constitution and Human Rights,Nil,False
MATH203,Probability and Statistics,NIL,False
ENGL210,Academic Writing,UCOR102,False
COMP403,Cloud Computing,NIL,False
DATA103,Programming in Python,NIL,False
DATA132,Data visualization and Storytelling,DATA103,False
MATH206,Advanced Statistical Analysis and Research Methods with R,MATH203,False
DATA404/DATA406,SPT-Course #2-Multi Modal Learning/Big Data Framework,DATA302/NIL,False
DATA408/COMP402,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),"DATA302/ COMP205, COMP401",False
UCOR111,Environmental Studies and Sustainability,NIL,False
UCOR207,Analytical Academic Writing,NIL,False
UCOR215,Humanistic Leadership Development,NIL,False
MATH208,Multivariate Calculus,Nil,False
MATH209,Linear Algebra,NIL,False
TBA,Language,NIL,False
DATA209,Advanced Exploratory Data Analysis,"DATA132, MATH203",False
TBA/COMP405,SPT-Course #3 (Image Processing and Computer Vision/Cloud & Cognitive Computing),TBA/NIL,False
MGMT101,Essentials of Business Management,Nil,False
PSCY102/ECON105,Introduction to Psychology/Principles of Economics,NIL,False
UCOR107,Communication Skills,Nil,False
MATH210,Advanced Statistical Analysis and Research Methods,MATH203,False
COMP133,Design Workshop,Nil,False
COMP211,Operating Systems,Nil,False
PSYC105/ECON106,Introduction to Psychology/Principles of Economics,NIL,False
