minor,batch,course_code,course_title,lecture_hours,tutorial_hours,practical_hours,credits,semester,prerequisite,source_sheet,source_row,course_code_source,prerequisite_status
Law Minor,2023,LAWM305,Regulating platform and Gig workers,3.0,0.0,2.0,4,5,,Law Minor,3,LAWM305,unknown
Law Minor,2023,LAWE200,Moral Philosophy and Justice,2.0,0.0,0.0,2,6,,Law Minor,4,LAWE200,unknown
Law Minor,2023,LAWC410,Introduction to Alternative Dispute Resolution Methods,2.0,0.0,2.0,3,6,,Law Minor,5,LAWC410,unknown
Law Minor,2023,LAWB210,Criminology and Victimology,2.0,2.0,0.0,4,6,,Law Minor,6,LAWB210,unknown
Law Minor,2023,LAWM306,Law Relating to start-ups,3.0,1.0,0.0,4,7,,Law Minor,7,LAWM306,unknown
Law Minor,2023,LAWE301,Intellectual Property Rights,2.0,0.0,0.0,2,7,,Law Minor,8,LAWE301,unknown
Law Minor,2024,LAWP100,Political Science I,2.0,1.0,0.0,3,3,,Law Minor,11,LAWP100,unknown
Law Minor,2024,LAWS301,Legal Methods,2.0,0.0,2.0,3,3,,Law Minor,12,LAWS301,unknown
Law Minor,2024,LAWM301,Constitution for Citizens,2.0,2.0,0.0,4,4,,Law Minor,13,LAWM301,unknown
Law Minor,2024,LAWM302,Basics of International Law,3.0,1.0,0.0,4,5,,Law Minor,14,LAWM302,unknown
Law Minor,2025,LAWS301,Legal Methods,2.0,0.0,2.0,3,3,,Law Minor,17,LAWS301,unknown
Law Minor,2025,LAWP101,Introduction to Political science,3.0,1.0,0.0,4,2,,Law Minor,18,LAWP101,unknown
Design Minor,2022,CDES105,Appreciating and Deconstructing Art and Media,3.0,0.0,0.0,3,3,,Design Minor,2,CDES105,unknown
Design Minor,2022,CDES203,Motion Graphic Design,1.0,0.0,2.0,2,5,,Design Minor,3,CDES203,unknown
Design Minor,2022,CDES504,Environment Design and Communication,1.0,1.0,0.0,2,5,,Design Minor,4,CDES504,unknown
Design Minor,2022,CDES704,Integrative Studio VI- Exhibition/Museum,2.0,2.0,0.0,4,6,,Design Minor,5,CDES704,unknown
Design Minor,2022,CDES402,Interaction Design- UI UX,1.0,3.0,0.0,4,6,,Design Minor,6,CDES402,unknown
Design Minor,2022,CDES216,Drawing and Moving Images,1.0,1.0,0.0,2,7,,Design Minor,7,CDES216,unknown
Design Minor,2022,CDES712,Designing Futures,1.0,2.0,0.0,3,7,,Design Minor,8,CDES712,unknown
Design Minor,2023,CDES105,Appreciating and Deconstructing Art and Media,3.0,0.0,0.0,3,3,,Design Minor,11,CDES105,unknown
Design Minor,2023,CDES702,"Integrative Studio II- Sensemaking, Visualization",2.0,2.0,0.0,4,4,,Design Minor,12,CDES702,unknown
Design Minor,2023,CDES221,Information Architecture and Design,2.0,2.0,0.0,4,5,,Design Minor,13,CDES221,unknown
Design Minor,2023,CDES219,Elements of Sound,2.0,2.0,0.0,4,6,,Design Minor,14,CDES219,unknown
Design Minor,2023,CDES301,Sketch to Story,2.0,2.0,0.0,4,6,,Design Minor,15,CDES301,unknown
Design Minor,2023,CDES312,Designing Futures,2.0,2.0,2.0,5,7,,Design Minor,16,CDES312,unknown
Design Minor,2024,CDES217,Making with Reframed Media,2.0,3.0,0.0,4,3,,Design Minor,18,CDES217,unknown
Design Minor,2024,CDES218,Frames and Frequencies,2.0,2.0,0.0,4,4,,Design Minor,19,CDES218,unknown
Design Minor,2024,CDES221,Information Architecture and Design,2.0,2.0,0.0,4,5,,Design Minor,20,CDES221,unknown
Design Minor,2024,CDES227,Drawing and Moving Image,2.0,2.0,0.0,4,5,,Design Minor,21,CDES227,unknown
Design Minor,2025,CDES217,Making with Reframed Media,2.0,2.0,0.0,4,3,,Design Minor,25,CDES217,unknown
Psychology,2022,PSYC201,Biological Psychology,3.0,1.0,0.0,4,3,,Psychology,2,PSYC201,unknown
Psychology,2022,PSYC202,Cognitive Psychology,2.0,2.0,0.0,4,4,,Psychology,3,PSYC202,unknown
Psychology,2022,PSYC255,Psychopathology,3.0,1.0,0.0,4,5,,Psychology,4,PSYC255,unknown
Psychology,2022,PSYC241,Social Psychology,2.0,2.0,0.0,4,6,,Psychology,5,PSYC241,unknown
Psychology,2022,PSYC204,Developmental Psychology,3.0,1.0,0.0,4,6,,Psychology,6,PSYC204,unknown
Psychology,2022,PSYC303,Psychological Testing and Measurement,3.0,1.0,0.0,4,7,,Psychology,7,PSYC303,unknown
Psychology,2023,PSYC201,Biological Psychology,3.0,1.0,0.0,4,3,,Psychology,9,PSYC201,unknown
Psychology,2023,PSYC202,Cognitive Psychology,2.0,2.0,0.0,4,4,,Psychology,10,PSYC202,unknown
Psychology,2023,PSYC104,Lifespan Development I,3.0,1.0,0.0,4,5,,Psychology,11,PSYC104,unknown
Psychology,2023,PSYC241,Social Psychology,2.0,2.0,0.0,4,6,,Psychology,12,PSYC241,unknown
Psychology,2023,PSYC306,Health Psychology,3.0,1.0,0.0,4,6,,Psychology,13,PSYC306,unknown
Psychology,2023,PSYC255,Psychopathology,3.0,1.0,0.0,4,7,,Psychology,14,PSYC255,unknown
Psychology,2024,PSYC201/PSYC103,Biological Psychology/ Foundations of Psychology I,3.0,1.0,0.0,4,3,,Psychology,16,PSYC201/ PSYC103,unknown
Psychology,2024,PSYC202,Cognitive Psychology,2.0,2.0,0.0,4,4,,Psychology,17,PSYC202,unknown
Psychology,2024,PSYC241,Social Psychology,2.0,2.0,0.0,4,5,,Psychology,18,PSYC241,unknown
Psychology,2024,PSYC306,Health Psychology,3.0,1.0,0.0,4,6,,Psychology,19,PSYC306,unknown
Psychology,2024,PSYC104,Lifespan Development I,3.0,1.0,0.0,4,6,,Psychology,20,PSYC104,unknown
Psychology,2024,PSYC255,Psychopathology,3.0,1.0,0.0,4,7,,Psychology,21,PSYC255,unknown
Psychology,2025,PSYC201/PSYC103,Biological Psychology/ Foundations of Psychology I,3.0,1.0,0.0,4,3,,Psychology,23,PSYC201/ PSYC103,unknown
Psychology,2025,PSYC202,Cognitive Psychology,2.0,2.0,0.0,4,4,,Psychology,24,PSYC202,unknown
Psychology,2025,PSYC241,Social Psychology,2.0,2.0,0.0,4,5,,Psychology,25,PSYC241,unknown
Psychology,2025,PSYC306,Health Psychology,3.0,1.0,0.0,4,6,,Psychology,26,PSYC306,unknown
Psychology,2025,PSYC104,Lifespan Development I,3.0,1.0,0.0,4,6,,Psychology,27,PSYC104,unknown
Psychology,2025,PSYC255,Psychopathology,3.0,1.0,0.0,4,7,,Psychology,28,PSYC255,unknown
Psychology,2026,PSYC201/PSYC103,Biological Psychology/ Foundations of Psychology I,3.0,1.0,0.0,4,3,,Psychology,30,PSYC201/ PSYC103,unknown
Psychology,2026,PSYC202,Cognitive Psychology,2.0,2.0,0.0,4,4,,Psychology,31,PSYC202,unknown
