course_code,course_title,prerequisite,prerequisite_status,prerequisite_codes
UCOR103,Communication Skills,NIL,none,[]
UCOR203,Leadership and Teamwork Skills,NIL,none,[]
UCOR205,Socio Cultural Perspectives on Indian Life-SPIL,NIL,none,[]
UCOR210,Critical Thinking,NIL,none,[]
UCOR104,Problem Solving with Design Thinking,NIL,none,[]
UCOR701,Community Engagement & Service Experience,NIL,none,[]
UCOR201,Introduction to Epistemology,NIL,none,[]
UCOR102,Introduction to writing,NIL,none,[]
UCOR106,Learning to Learn,NIL,none,[]
MATH201,Calculus,NIL,none,[]
MATH202,Probability Theory,NIL,none,[]
MTSC781,Sustainable Cities and Communities,NIL,none,[]
SLAD206,Human Values in Work and Life,NIL,none,[]
LANG101,Language,NIL,none,[]
COMP132,Design Workshop,NIL,none,[]
MTSC211,Sustainable Smart Materials,MTSC111,specified,['MTSC111']
SLAD207,Foundation Seminar,NIL,none,[]
MTSC111,Materials for Smart Devices,NIL,none,[]
ENGL201,Academic Writing,UCOR102,specified,['UCOR102']
MATH204,Linear Algebra,NIL,none,[]
DATA131,Visualizing Data for Story Telling,NIL,none,[]
PSYC101/ECON101,Introduction to Psychology/Introduction to Economics,NIL,none,[]
DATA130,Computational Thinking,NIL,none,[]
COMP201,Data Structures,NIL,none,[]
COMP203,Analysis of Algorithms,COMP201,specified,['COMP201']
COMP205,Object Oriented Programming,NIL,none,[]
COMP208,Networks,NIL,none,[]
COMP302,Internet of Things,"COMP132, COMP201, COMP206, COMP208, COMP301",specified,"['COMP132', 'COMP201', 'COMP206', 'COMP208', 'COMP301']"
MATH205,Statistics with R,MATH202,specified,['MATH202']
COMP202,Theoretical Computer Science,NIL,none,[]
COMP204,Digital Design and Computer Organization,NIL,none,[]
COMP207,Operating Systems,NIL,none,[]
COMP206,Microprocessors and Computer Architecture,"COMP204, COMP207",specified,"['COMP204', 'COMP207']"
COMP301,Artificial Intelligence,NIL,none,[]
COMP209,Databases Management,NIL,none,[]
DATA201,Foundations to Data Science,NIL,none,[]
DATA202,Exploratory Data Analysis,"DATA201, MATH203",specified,"['DATA201', 'MATH203']"
MATH301,Optimization Techniques for Data Science,MATH201,specified,['MATH201']
DATA301,Machine Learning,"DATA202, MATH301",specified,"['DATA202', 'MATH301']"
DATA302,Deep Learning,DATA301,specified,['DATA301']
DATA207,Human Centric AI,COMP210/COMP301,specified,"['COMP210', 'COMP301']"
MATH401/COMP401,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,NIL/NIL,specified,[]
DATA402/DATA406,SPT-Course #2 (Advanced Visualization and Storytelling/Big Data Framework),DATA301/NIL,specified,['DATA301']
DATA403/COMP402,SPT-Course #3 (Natural Language Processing / Software Architecture and Deployments),"DATA302/COMP205, COMP401",specified,"['DATA302', 'COMP205', 'COMP401']"
DATA404,SPT-Course #4 (Multi Modal Learning / Cloud Computing),DATA302,specified,['DATA302']
DATA405,SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),"MATH202,MATH204",specified,"['MATH202', 'MATH204']"
DATA801,Summer Training/Internship,NIL,none,[]
DATA802,Interdisciplinary Project,NIL,none,[]
DATA803,Capstone Project/Industrial Internship,NIL,none,[]
MATH207,Research Methodology,NIL,none,[]
DATA302,Deep Learning,"DATA301, MATH201",specified,"['DATA301', 'MATH201']"
DATA303,MLOps & Model Deployment,"DATA301, COMP208",specified,"['DATA301', 'COMP208']"
DATA405/DATA406,SPT-Course #2-Reinforcement Learning/Big Data Framework,"MATH202, MATH204/NIL",specified,"['MATH202', 'MATH204']"
DATA403,SPT-Course #3 (Natural Language Processing / Natural Language Processing),DATA302,specified,['DATA302']
DATA404/COMP402,SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),"DATA302/ COMP205, COMP401",specified,"['DATA302', 'COMP205', 'COMP401']"
DATA408/COMP405,SPT-Course #5 Advanced Topics in Deep Learning LTP: 3-0-2/ Cloud &Cognitive Computing LTP: 2-0-4,DATA302,specified,['DATA302']
UCOR105,Communication and Leadership Skills,NIL,none,[]
UCOR310,Critical Thinking,NIL,none,[]
