academic_structure,semester,course_code,course_title,prerequisite,prerequisite_status,credits,basket_code,basket_name,source_sheet,source_row
Sem Spread BTECH-2022,S1,UCOR103,Communication Skills,NIL,none,2,B1,Univ Core,Sem Spread BTECH-2022,3
Sem Spread BTECH-2022,S2,UCOR203,Leadership and Teamwork Skills,NIL,none,2,B1,Univ Core,Sem Spread BTECH-2022,3
Sem Spread BTECH-2022,S3,UCOR205,Socio Cultural Perspectives on Indian Life-SPIL,NIL,none,3,B1,Univ Core,Sem Spread BTECH-2022,3
Sem Spread BTECH-2022,S4,UCOR210,Critical Thinking,NIL,none,2,B1,Univ Core,Sem Spread BTECH-2022,3
Sem Spread BTECH-2022,S1,UCOR104,Problem Solving with Design Thinking,NIL,none,2,B1,Univ Core,Sem Spread BTECH-2022,4
Sem Spread BTECH-2022,S2,UCOR701,Community Engagement & Service Experience,NIL,none,1,B1,Univ Core,Sem Spread BTECH-2022,4
Sem Spread BTECH-2022,S3,UCOR201,Introduction to Epistemology,NIL,none,2,B1,Univ Core,Sem Spread BTECH-2022,4
Sem Spread BTECH-2022,S1,UCOR102,Introduction to writing,NIL,none,2,B1,Univ Core,Sem Spread BTECH-2022,5
Sem Spread BTECH-2022,S2,UCOR106,Learning to Learn,NIL,none,2,B1,Univ Core,Sem Spread BTECH-2022,5
Sem Spread BTECH-2022,S1,MATH201,Calculus,NIL,none,3,B2,Foundation,Sem Spread BTECH-2022,7
Sem Spread BTECH-2022,S2,MATH202,Probability Theory,NIL,none,3,B2,Foundation,Sem Spread BTECH-2022,7
Sem Spread BTECH-2022,S3,MTSC781,Sustainable Cities and Communities,NIL,none,3,B2,Foundation,Sem Spread BTECH-2022,7
Sem Spread BTECH-2022,S4,SLAD206,Human Values in Work and Life,NIL,none,2,B2,Foundation,Sem Spread BTECH-2022,7
Sem Spread BTECH-2022,S6,LANG101,Language,NIL,none,3,B2,Foundation,Sem Spread BTECH-2022,7
Sem Spread BTECH-2022,S1,COMP132,Design Workshop,NIL,none,2,B2,Foundation,Sem Spread BTECH-2022,8
Sem Spread BTECH-2022,S2,MTSC211,Sustainable Smart Materials,MTSC111,specified,3,B2,Foundation,Sem Spread BTECH-2022,8
Sem Spread BTECH-2022,S4,SLAD207,Foundation Seminar,NIL,none,1,B2,Foundation,Sem Spread BTECH-2022,8
Sem Spread BTECH-2022,S1,MTSC111,Materials for Smart Devices,NIL,none,3,B2,Foundation,Sem Spread BTECH-2022,9
Sem Spread BTECH-2022,S2,ENGL201,Academic Writing,UCOR102,specified,3,B2,Foundation,Sem Spread BTECH-2022,9
Sem Spread BTECH-2022,S3,MATH204,Linear Algebra,NIL,none,3,B2,Foundation,Sem Spread BTECH-2022,9
Sem Spread BTECH-2022,S1,DATA131,Visualizing Data for Story Telling,NIL,none,2,B2,Foundation,Sem Spread BTECH-2022,10
Sem Spread BTECH-2022,S1,PSYC101/ECON101,Introduction to Psychology/Introduction to Economics,NIL,none,3,B2,Foundation,Sem Spread BTECH-2022,11
Sem Spread BTECH-2022,S1,DATA130,Computational Thinking,NIL,none,3,B3,Program CORE,Sem Spread BTECH-2022,12
Sem Spread BTECH-2022,S2,COMP201,Data Structures,NIL,none,4,B3,Program CORE,Sem Spread BTECH-2022,12
Sem Spread BTECH-2022,S3,COMP203,Analysis of Algorithms,COMP201,specified,4,B3,Program CORE,Sem Spread BTECH-2022,12
Sem Spread BTECH-2022,S4,COMP205,Object Oriented Programming,NIL,none,3,B3,Program CORE,Sem Spread BTECH-2022,12
Sem Spread BTECH-2022,S5,COMP208,Networks,NIL,none,4,B3,Program CORE,Sem Spread BTECH-2022,12
Sem Spread BTECH-2022,S7,COMP302,Internet of Things,"COMP132, COMP201, COMP206, COMP208, COMP301",specified,2,B3,Program CORE,Sem Spread BTECH-2022,12
Sem Spread BTECH-2022,S2,MATH205,Statistics with R,MATH202,specified,3,B3,Program CORE,Sem Spread BTECH-2022,13
Sem Spread BTECH-2022,S3,COMP202,Theoretical Computer Science,NIL,none,4,B3,Program CORE,Sem Spread BTECH-2022,13
Sem Spread BTECH-2022,S4,COMP204,Digital Design and Computer Organization,NIL,none,4,B3,Program CORE,Sem Spread BTECH-2022,13
Sem Spread BTECH-2022,S5,COMP207,Operating Systems,NIL,none,3,B3,Program CORE,Sem Spread BTECH-2022,13
Sem Spread BTECH-2022,S6,COMP206,Microprocessors and Computer Architecture,"COMP204, COMP207",specified,4,B3,Program CORE,Sem Spread BTECH-2022,13
Sem Spread BTECH-2022,S4,COMP301,Artificial Intelligence,NIL,none,4,B3,Program CORE,Sem Spread BTECH-2022,14
