academic_structure,structure_category,course_number,course_title,credits,source_sheet,source_row
Struct_2022,University CORE - Courses,1,Communication skills,2.0,Struct_2022,3
Struct_2022,University CORE - Courses,2,Problem Solving with Design Thinking,2.0,Struct_2022,4
Struct_2022,University CORE - Courses,3,Introduction to Writing,2.0,Struct_2022,5
Struct_2022,University CORE - Courses,4,Socio Cultural Perspectives on Indian Life-SPIL,3.0,Struct_2022,6
Struct_2022,University CORE - Courses,5,Leadership and Teamwork Skills,2.0,Struct_2022,7
Struct_2022,University CORE - Courses,6,Learning to Learn,2.0,Struct_2022,8
Struct_2022,University CORE - Courses,7,Critical Thinking,2.0,Struct_2022,9
Struct_2022,University CORE - Courses,8,Introduction to Epistemology,2.0,Struct_2022,10
Struct_2022,University CORE - Courses,9,Community Engagement and Service Experience,1.0,Struct_2022,11
Struct_2022,Foundation Courses,1,Academic Writing,3.0,Struct_2022,2
Struct_2022,Foundation Courses,2,Human Values in work and Life,2.0,Struct_2022,3
Struct_2022,Foundation Courses,3,Sustainable Cities and Communities,3.0,Struct_2022,4
Struct_2022,Foundation Courses,4,Materials for Smart devices,3.0,Struct_2022,5
Struct_2022,Foundation Courses,5,Sustainable Smart Materials,3.0,Struct_2022,6
Struct_2022,Foundation Courses,6,Introduction to Psychology/Introduction to Economics,3.0,Struct_2022,7
Struct_2022,Foundation Courses,7,Design Workshop,2.0,Struct_2022,8
Struct_2022,Foundation Courses,8,Calculus,3.0,Struct_2022,9
Struct_2022,Foundation Courses,9,Probability Theory,3.0,Struct_2022,10
Struct_2022,Foundation Courses,10,Linear Algebra,3.0,Struct_2022,11
Struct_2022,Foundation Courses,11,Visualizing Data for Story Telling,2.0,Struct_2022,12
Struct_2022,Foundation Courses,12,Language,3.0,Struct_2022,13
Struct_2022,Foundation Courses,13,Foundation Seminar,1.0,Struct_2022,14
Struct_2022,Program Core - Courses,1,Computational Thinking,3.0,Struct_2022,3
Struct_2022,Program Core - Courses,2,Data Structures,4.0,Struct_2022,4
Struct_2022,Program Core - Courses,3,Theoretical Computer Science,4.0,Struct_2022,5
Struct_2022,Program Core - Courses,4,Analysis of Algorithms,4.0,Struct_2022,6
Struct_2022,Program Core - Courses,5,Digital Design and Computer Organization,4.0,Struct_2022,7
Struct_2022,Program Core - Courses,6,Object Oriented Programming,3.0,Struct_2022,8
Struct_2022,Program Core - Courses,7,Microprocessors and Computer Architecture,4.0,Struct_2022,9
Struct_2022,Program Core - Courses,8,Operating Systems,3.0,Struct_2022,10
Struct_2022,Program Core - Courses,9,Networks,4.0,Struct_2022,11
Struct_2022,Program Core - Courses,10,Databases Management,4.0,Struct_2022,12
Struct_2022,Program Core - Courses,11,Statistics with R,3.0,Struct_2022,13
Struct_2022,Program Core - Courses,12,Artificial Intelligence,4.0,Struct_2022,14
Struct_2022,Program Core - Courses,13,Internet of Things,2.0,Struct_2022,15
Struct_2022,Program Hons - Courses,1,Foundations to Data Science,3.0,Struct_2022,3
Struct_2022,Program Hons - Courses,2,Exploratory Data Analysis,3.0,Struct_2022,4
Struct_2022,Program Hons - Courses,3,Human Centric AI,2.0,Struct_2022,5
Struct_2022,Program Hons - Courses,4,Machine Learning,4.0,Struct_2022,6
Struct_2022,Program Hons - Courses,5,Optimization Techniques for Data Science,4.0,Struct_2022,7
Struct_2022,Program Hons - Courses,6,Deep Learning,4.0,Struct_2022,8
Struct_2022,Hons Sp Track #1 - Applied Deep Learning - Courses,1,Probabilistic Graph Models,4.0,Struct_2022,2
Struct_2022,Hons Sp Track #1 - Applied Deep Learning - Courses,2,Advanced Visualization and Storytelling,4.0,Struct_2022,3
Struct_2022,Hons Sp Track #1 - Applied Deep Learning - Courses,3,Natural Language Processing,4.0,Struct_2022,4
Struct_2022,Hons Sp Track #1 - Applied Deep Learning - Courses,4,Multi Modal Learning,4.0,Struct_2022,5
Struct_2022,Hons Sp Track #1 - Applied Deep Learning - Courses,5,Reinforcement Learning,4.0,Struct_2022,6
Struct_2022,Hons Sp Track #2 - Full Stack Development - Courses,1,Web Framework,4.0,Struct_2022,2
Struct_2022,Hons Sp Track #2 - Full Stack Development - Courses,2,Big Data Framework,4.0,Struct_2022,3
Struct_2022,Hons Sp Track #2 - Full Stack Development - Courses,3,Software Architecture and Deployments,4.0,Struct_2022,4
Struct_2022,Hons Sp Track #2 - Full Stack Development - Courses,4,Cloud Computing,4.0,Struct_2022,5
Struct_2022,Hons Sp Track #2 - Full Stack Development - Courses,5,Cognitive Computing,4.0,Struct_2022,6
Struct_2023,University CORE - Courses,1,Communication skills,2.0,Struct_2023,3
Struct_2023,University CORE - Courses,2,Problem Solving with Design Thinking,2.0,Struct_2023,4
Struct_2023,University CORE - Courses,3,Introduction to Writing,2.0,Struct_2023,5
Struct_2023,University CORE - Courses,4,Socio Cultural Perspectives on Indian Life-SPIL,3.0,Struct_2023,6
Struct_2023,University CORE - Courses,5,Leadership and Teamwork Skills,2.0,Struct_2023,7
Struct_2023,University CORE - Courses,6,Learning to Learn,2.0,Struct_2023,8
Struct_2023,University CORE - Courses,7,Critical Thinking,2.0,Struct_2023,9
Struct_2023,University CORE - Courses,8,Introduction to Epistemology,2.0,Struct_2023,10
Struct_2023,University CORE - Courses,9,Community Engagement and Service Experience,1.0,Struct_2023,11
Struct_2023,University CORE - Courses,,2023 DS,,Struct_2023,14
